nohup: ignoring input
data rows: 18,500
selected rows: 18,500 mode=all
cached rows: 3,459
missing rows: 15,041 across 185 targets
metrics: all; max_workers: 12
completed 5/185 targets; 405/15,041 new rows; elapsed=312.9s
completed 10/185 targets; 807/15,041 new rows; elapsed=516.7s
completed 15/185 targets; 1,212/15,041 new rows; elapsed=640.6s
completed 20/185 targets; 1,621/15,041 new rows; elapsed=915.8s
completed 25/185 targets; 2,025/15,041 new rows; elapsed=1232.8s
completed 30/185 targets; 2,435/15,041 new rows; elapsed=1278.3s
completed 35/185 targets; 2,841/15,041 new rows; elapsed=1431.9s
completed 40/185 targets; 3,251/15,041 new rows; elapsed=1739.0s
completed 45/185 targets; 3,658/15,041 new rows; elapsed=1891.6s
completed 50/185 targets; 4,059/15,041 new rows; elapsed=1974.8s
completed 55/185 targets; 4,468/15,041 new rows; elapsed=2241.0s
completed 60/185 targets; 4,882/15,041 new rows; elapsed=2406.5s
completed 65/185 targets; 5,285/15,041 new rows; elapsed=2433.3s
completed 70/185 targets; 5,695/15,041 new rows; elapsed=2664.9s
completed 75/185 targets; 6,102/15,041 new rows; elapsed=2732.0s
completed 80/185 targets; 6,506/15,041 new rows; elapsed=2981.2s
completed 85/185 targets; 6,911/15,041 new rows; elapsed=3068.0s
completed 90/185 targets; 7,315/15,041 new rows; elapsed=3138.6s
completed 95/185 targets; 7,718/15,041 new rows; elapsed=3412.9s
completed 100/185 targets; 8,126/15,041 new rows; elapsed=3530.4s
completed 105/185 targets; 8,532/15,041 new rows; elapsed=3677.3s
completed 110/185 targets; 8,942/15,041 new rows; elapsed=3998.2s
completed 115/185 targets; 9,345/15,041 new rows; elapsed=4230.6s
completed 120/185 targets; 9,757/15,041 new rows; elapsed=4413.9s
completed 125/185 targets; 10,161/15,041 new rows; elapsed=4598.0s
completed 130/185 targets; 10,569/15,041 new rows; elapsed=4701.1s
completed 135/185 targets; 10,975/15,041 new rows; elapsed=4967.3s
completed 140/185 targets; 11,381/15,041 new rows; elapsed=5199.1s
completed 145/185 targets; 11,788/15,041 new rows; elapsed=5341.0s
completed 150/185 targets; 12,197/15,041 new rows; elapsed=5533.9s
completed 155/185 targets; 12,602/15,041 new rows; elapsed=5650.6s
completed 160/185 targets; 13,011/15,041 new rows; elapsed=5932.3s
completed 165/185 targets; 13,421/15,041 new rows; elapsed=6111.9s
completed 170/185 targets; 13,826/15,041 new rows; elapsed=6295.9s
completed 175/185 targets; 14,230/15,041 new rows; elapsed=6542.9s
completed 180/185 targets; 14,634/15,041 new rows; elapsed=6773.2s
completed 185/185 targets; 15,041/15,041 new rows; elapsed=7704.5s
cache written: /home/sujin/projects/cdr-scoring/cdr-code/notebooks/tmp/IF-af3-benchmark.metrics_cache.csv (18,500 rows)
metric errors in cache: 0
